"Период","Google","Яндекс","Bing","Mail.ru","Sogou","Baidu","Tut.by","Yahoo!","Rambler","DuckDuckGo","Ukr.net","Ecosia"
"2020-01-01","16","6","0","0","0","0","0","0","0","0","0","0"
"2020-01-02","17","7","0","1","0","0","0","0","0","0","0","0"
"2020-01-03","17","13","0","0","0","0","0","0","0","0","0","0"
"2020-01-04","24","7","0","0","1","0","0","0","0","0","0","0"
"2020-01-05","13","10","0","0","0","0","0","0","0","0","0","0"
"2020-01-06","13","4","0","0","0","0","0","0","0","0","0","0"
"2020-01-07","23","10","0","0","2","0","0","0","0","0","0","0"
"2020-01-08","25","6","0","0","0","0","0","1","0","0","0","0"
"2020-01-09","26","14","0","0","0","0","0","0","0","0","0","0"
"2020-01-10","34","16","0","0","2","0","0","0","0","0","0","0"
"2020-01-11","17","6","0","0","0","0","0","0","0","0","0","0"
"2020-01-12","17","7","0","0","0","0","0","0","0","0","0","0"
"2020-01-13","20","19","0","0","2","0","0","0","0","0","0","0"
"2020-01-14","20","21","0","0","0","0","0","0","0","0","0","0"
"2020-01-15","26","23","0","0","0","0","0","0","0","0","0","0"
"2020-01-16","24","15","0","0","2","0","0","0","0","0","0","0"
"2020-01-17","17","11","0","0","0","0","0","0","0","0","0","0"
"2020-01-18","10","9","0","0","0","0","0","0","0","0","0","0"
"2020-01-19","11","15","0","0","2","0","0","0","0","0","0","0"
"2020-01-20","32","20","0","0","0","0","0","0","0","0","0","0"
"2020-01-21","25","21","0","0","0","0","0","1","0","0","0","0"
"2020-01-22","22","21","0","1","1","0","0","0","0","0","0","0"
"2020-01-23","22","17","0","0","0","0","0","1","0","0","0","0"
"2020-01-24","17","18","0","0","0","0","0","0","0","0","0","0"
"2020-01-25","11","11","0","0","2","0","0","0","0","0","0","0"
"2020-01-26","16","11","0","0","0","0","0","0","0","0","0","0"
"2020-01-27","19","12","0","0","0","0","0","0","0","0","0","0"
"2020-01-28","35","20","0","0","1","0","0","0","0","0","0","0"
"2020-01-29","24","24","0","0","0","0","0","0","0","0","0","0"
"2020-01-30","18","28","0","0","0","0","0","0","0","0","0","0"
"2020-01-31","20","21","1","0","0","0","0","0","0","0","0","0"
"2020-02-01","11","7","0","0","2","0","0","0","0","0","0","0"
"2020-02-02","14","8","0","1","0","0","0","0","0","0","0","0"
"2020-02-03","22","15","0","1","0","0","0","0","0","0","0","0"
"2020-02-04","28","12","0","0","2","0","0","0","0","0","0","0"
"2020-02-05","27","14","0","2","0","0","0","0","0","0","0","0"
"2020-02-06","27","17","0","1","0","0","0","0","0","0","0","0"
"2020-02-07","12","20","0","3","0","0","0","0","0","0","0","0"
"2020-02-08","15","11","0","0","0","0","0","0","0","0","0","0"
"2020-02-09","13","14","0","0","0","0","0","0","0","0","0","0"
"2020-02-10","30","26","0","2","2","0","0","0","0","0","0","0"
"2020-02-11","28","22","0","2","0","0","0","0","0","0","0","0"
"2020-02-12","16","18","0","1","0","0","0","0","0","0","0","0"
"2020-02-13","19","27","0","0","2","0","0","0","0","0","0","0"
"2020-02-14","15","20","0","0","0","0","0","0","0","0","0","0"
"2020-02-15","15","3","0","1","0","0","0","0","0","0","0","0"
"2020-02-16","14","16","0","0","1","0","0","0","0","0","0","0"
"2020-02-17","24","22","0","0","0","0","0","0","1","0","0","0"
"2020-02-18","20","21","0","0","0","0","0","0","0","0","0","0"
"2020-02-19","20","17","0","0","2","0","0","0","0","0","0","0"
"2020-02-20","18","17","0","0","0","0","0","0","0","0","0","0"
"2020-02-21","18","15","0","0","0","0","0","0","0","0","0","0"
"2020-02-22","9","7","0","0","0","0","0","1","0","0","0","0"
"2020-02-23","12","5","0","0","0","0","0","0","0","0","0","0"
"2020-02-24","21","26","0","1","0","0","0","0","0","0","0","0"
"2020-02-25","23","20","0","1","0","0","0","0","0","0","0","0"
"2020-02-26","25","22","0","1","0","0","0","0","0","0","0","0"
"2020-02-27","22","12","0","0","0","0","0","0","0","0","0","0"
"2020-02-28","17","20","0","1","4","0","0","1","0","0","0","0"
"2020-02-29","9","6","0","0","0","0","0","1","0","0","0","0"
"2020-03-01","9","6","0","0","0","0","0","0","0","0","0","0"
"2020-03-02","14","17","0","0","0","0","0","0","0","0","0","0"
"2020-03-03","23","16","0","0","0","0","0","0","0","0","0","0"
"2020-03-04","12","17","0","0","2","0","0","1","0","0","0","0"
"2020-03-05","22","28","0","0","0","0","0","0","1","0","0","0"
"2020-03-06","24","14","0","0","0","2","0","0","0","0","0","0"
"2020-03-07","5","4","1","0","2","1","0","0","0","0","0","0"
"2020-03-08","8","14","0","0","0","0","0","0","0","0","0","0"
"2020-03-09","22","21","0","0","0","0","0","0","0","0","0","0"
"2020-03-10","25","24","0","0","0","0","0","1","0","0","0","0"
"2020-03-11","21","16","0","0","0","0","0","0","0","0","0","0"
"2020-03-12","17","24","0","0","0","0","0","0","0","0","0","0"
"2020-03-13","14","13","0","0","4","0","0","0","1","0","0","0"
"2020-03-14","10","10","0","0","0","0","0","0","0","0","0","0"
"2020-03-15","12","10","0","0","0","0","0","0","0","0","0","0"
"2020-03-16","16","12","0","0","1","0","0","0","0","0","0","0"
"2020-03-17","16","7","0","0","0","0","0","0","0","0","0","0"
"2020-03-18","23","12","0","0","0","0","0","0","0","0","0","0"
"2020-03-19","11","12","0","0","0","0","0","0","0","0","0","0"
"2020-03-20","7","6","0","1","0","0","0","0","0","0","0","0"
"2020-03-21","7","3","0","0","0","0","0","0","0","0","0","0"
"2020-03-22","10","6","0","0","1","0","0","0","0","0","0","0"
"2020-03-23","18","12","0","0","0","0","0","0","0","0","0","0"
"2020-03-24","13","15","0","0","0","0","0","0","0","0","0","0"
"2020-03-25","14","11","0","0","2","0","0","0","0","0","0","0"
"2020-03-26","17","10","0","1","0","0","0","0","0","0","0","0"
"2020-03-27","13","10","0","1","0","0","0","0","0","0","0","0"
